YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE
1962,6.1,CHINA,广东,23.72,114.67
1962,5.5,CHINA,云南,23.6,106.1
1962,6.8,CHINA,青海,37.1,96
1962,6.2,CHINA,云南,25.2,101.2
1962,6.4,CHINA,新疆,44.68,81.58
1962,5.5,CHINA,宁夏,38.12,106.27
1963,7.0,CHINA,青海,35.7,97
1963,6.0,CHINA,云南,25.8,99.5
1963,5.8,CHINA,黑龙江,47.9,130.6
1963,6.5,CHINA,新疆,39.8,74.2
1964,5.4,CHINA,云南,26.1,101
1964,4.7,CHINA,山西,35.1,111.6
1965,5.5,CHINA,山西,35,111.63
1965,6.1,CHINA,云南,22.4,101.6
1965,6.6,CHINA,新疆,43.9,87.8
1966,5.1,CHINA,云南,27.9,99.7
1966,6.5,CHINA,云南,26.1,103.1
1966,6.2,CHINA,云南,26.1,103.1
1966,5.2,CHINA,河北,37.47,115.03
1966,7.4,CHINA,河北,37.35,114.92
1966,5.6,CHINA,河北,37.27,114.97
1966,7.6,CHINA,河北,37.5,115.1
1966,6.2,CHINA,河北,37.68,115.27
1966,5.3,CHINA,河北,37.25,114.78
1966,5.4,CHINA,云南,24,97.7
1966,6.4,CHINA,云南,27.5,100.1
1966,5.2,CHINA,吉林,43.83,125.12
1967,5.5,CHINA,四川,30.2,104.1
1967,6.3,CHINA,河北,38.5,116.5
1967,6.8,CHINA,四川,31.6,100.3
1967,5.7,CHINA,河北,37.717,115.217
1967,5.4,CHINA,山西,36.467,111.217
1969,6.3,CHINA,新疆,41.45,79.367
1969,7.4,CHINA,天津,38.2,119.4
1969,6.4,CHINA,广东,22.317,111.8
1969,5.5,CHINA,新疆,39.7,74.8
1970,7.8,CHINA,云南,24.1,102.5
1971,5.9,CHINA,四川,28.9,103.7
1973,7.6,CHINA,四川,31.4,100.58
1973,7.5,CHINA,西藏,35.18,86.48
1974,5.5,CHINA,江苏,31.6,119.2
1974,7.1,CHINA,云南,28.24,104.01
1975,7.4,CHINA,辽宁,40.64,122.58
1976,7.3,CHINA,云南,24.57,98.953
1976,7.4,CHINA,云南,24.531,98.71
1976,7.5,CHINA,河北,39.57,117.98
1976,7.4,CHINA,河北,39.664,118.401
1979,5.4,CHINA,江苏,31.452,119.241
1979,5.9,CHINA,内蒙古,41.145,108.129
1981,6.8,CHINA,四川,30.927,101.098
1982,4.6,CHINA,甘肃,36.785,105.55
