YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1962,5.9,CROATIA,BALKANS NW:  CROATIA,43.3,17.1,90,90
1962,6.1,CROATIA,BALKANS NW:  CROATIA,43.3,17.1,90,90
1962,7.3,CHILE,CHILE:  CENTRAL,-37.8,-72.5,0,0
1962,5.3,TUNISIA,"TUNISIA:  GAFOUR,OUM-ZID,EL AKHOUAT",36,9,90,90
1962,6.8,PANAMA,COSTA RICA-PANAMA,8.008,-82.757,90,0
1962,6,ALBANIA,ALBANIA,40.9,19.5,90,90
1962,6.1,CHINA,CHINA:GUANGDONG PROVINCE,23.72,114.67,90,180
1962,,IRAN,IRAN:  MUSSAVIEH,33.6,59,90,90
1962,7.2,JAPAN,JAPAN:  SANRIKU,38.073,142.741,90,180
1962,6.3,PERU,"PERU:  CASMA,HUARAZ,QUIRUVILCA,TRUJILLO",-10,-79,0,0
1962,5.5,CHINA,CHINA:YUNNAN PROVINCE,23.6,106.1,90,180
1962,,JAPAN,"SE. HOKKAIDO ISLAND, JAPAN",42.2,143.9,90,180
1962,5.3,FRANCE,"FRANCE:  CORRENCON,CHATEAU-BERNARD,LE GUA,RENCUREL",45,5.6,90,90
1962,6.8,JAPAN,JAPAN:  HONSHU:  SENDAI,38.8,140.9,90,180
1962,7,MEXICO,MEXICO:  S,17.2,-99.6,90,-90
1962,7.2,MEXICO,MEXICO:  S,17.2,-99.5,90,-90
1962,6.8,CHINA,CHINA:QINGHAI PROVINCE,37.1,96,90,180
1962,5.7,JAPAN,JAPAN:  OFF COAST OF HONSHU ISLAND,41.8,142.4,90,180
1962,4.5,GREECE,GREECE:  AEGEAN SEA,39.8,25,90,90
1962,6.3,BOSNIA-HERZEGOVINA,BALKANS NW:  BOSNIA-HERZEGOVINA,43.6,18.3,90,90
1962,6.2,CHINA,CHINA:YUNNAN PROVINCE,25.2,101.2,90,180
1962,7.4,PANAMA,PANAMA,7.5,-82,90,0
1962,6.8,COLOMBIA,"COLOMBIA:  MISTRATO, MANIZALES",5.2,-76.4,90,0
1962,6.4,CHINA,CHINA:XINJIANG,44.68,81.58,90,90
1962,6.1,ITALY,ITALY:  S,41.4,15.5,90,90
1962,6.8,GREECE,GREECE:  S,37.8,22.9,90,90
1962,5.8,USA,UTAH,41.8,-111.8,90,-90
1962,7.2,IRAN,IRAN:   BUYIN-ZARA,35.63,49.87,90,90
1962,5.5,TURKEY,TURKEY:  IGDIR,39.9,43.9,90,90
1962,5.5,GREECE,GREECE:  AEGEAN SEA; TURKEY:  BALIKESIR,39.6,23.3,90,90
1962,5,IRAN,"IRAN:  TORBAT HEYDARIYEH, AKHMEDABAD",35.1,58.7,90,90
1962,5.5,IRAN,"IRAN:  GAHKOM,GOLRUIYEH,PATKUIYEH,LAIGAZAN,GANJ",28.1,55.6,90,90
1962,5.5,CHINA,CHINA:NINGXIA,38.12,106.27,90,180
1962,6.5,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.47,-168.54,90,-90
1963,4.5,IRAN,"IRAN:  KHENDODZHAN, DAKHNE-UDZHAK",36.9,57.8,90,90
1963,7.3,TAIWAN,"TAIWAN:  TAIPEI, HSINCH",24.5,122.1,90,180
1963,5.4,LIBYA,LIBYA:  BARCE (AL MARJ),32.6,21,90,90
1963,7.2,IRAN,IRAN:  KARKHANEH,34.4,47.9,90,90
1963,,ITALY,ITALY:  S,40.8,15.6,90,90
1963,7,IRAN,IRAN:  HENDOJAN,37,57.9,90,90
1963,7,CHINA,CHINA:QINGHAI PROVINCE,35.7,97,90,180
1963,6,CHINA,CHINA:YUNNAN PROVINCE,25.8,99.5,90,180
1963,5.5,NICARAGUA,NICARAGUA:  LEON,12.2,-86.9,90,0
1963,6,INDONESIA,INDONESIA:  BALI,-8.2,115.6,0,180
1963,4.9,SLOVENIA,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.1,14.8,90,90
1963,5.8,CHINA,CHINA:HEILONGJIANG PROVINCE,47.9,130.6,90,180
1963,5.1,IRAN,IRAN:  W,33.2,49.2,90,90
1963,6,MACEDONIA,BALKANS NW:  MACEDONIA:  SKOPJE,42.1,21.3,90,90
1963,5.2,IRAN,"IRAN:  GAHKOM,LAIGAZAN,PATKUIYEH,GOLRUIYEH,GANJ",28.2,55.7,90,90
1963,7.7,PERU,PERU:  S,-13.8,-69.3,0,0
1963,6.5,CHINA,CHINA:XINJIANG,39.8,74.2,90,90
1963,5.3,INDIA,INDIA:  KASHMIR:  SW,33.9,74.8,90,90
1963,7.5,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.472,165.77,0,180
1963,7.5,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.286,165.413,0,180
1963,6.1,TURKEY,TURKEY:  YALOVA:  CINARCIK,40.75,29,90,90
1963,7,PERU,"PERU:  HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ",-10.385,-78.022,0,0
1963,7.1,RUSSIA,RUSSIA:  S. KURIL ISLANDS,44.426,149.272,90,180
1963,8.5,RUSSIA,RUSSIA:  KURIL ISLANDS,44.77,149.798,90,180
1963,7.9,RUSSIA,RUSSIA:  KURIL ISLANDS,44.772,150.563,90,180
1963,8.3,INDONESIA,INDONESIA:  BANDA SEA,-6.86,129.58,0,180
1963,6.6,INDONESIA,"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO",-6.4,105.4,0,180
1963,7.5,TONGA,TONGA TRENCH,-24.8,-176.6,0,-90
1964,5.2,INDONESIA,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4,0,180
1964,7,TAIWAN,TAIWAN:  TAINAN,23.2,120.6,90,180
1964,5.4,CHINA,CHINA:YUNNAN PROVINCE,26.1,101,90,180
1964,4.6,AZORES (PORTUGAL),AZORES,38.8,-28.4,90,0
1964,9.2,USA,ALASKA,61.017,-147.648,90,-90
1964,7,INDONESIA,INDONESIA:  BANDA ACEH,5.9,95.7,90,180
1964,6,CROATIA,BALKANS NW:  CROATIA,45.3,18.1,90,90
1964,6,TANZANIA,TANZANIA,-4,34.9,0,90
1964,6.9,JAPAN,JAPAN:  NW. HONSHU ISLAND,40.3,139,90,180
1964,6.6,JAPAN,JAPAN:  NW. HONSHU ISLAND,40.4,139,90,180
1964,6.1,TURKEY,"TURKEY:  MALATYA,ADIYAMAN",38.1,38.3,90,90
1964,7.5,JAPAN,JAPAN:  HONSHU:  W COAST,38.65,139.2,90,180
1964,7.5,VANUATU,VANUATU ISLANDS:  ESPIRITU SANTO ISLANDS,-15.5,166.5,0,180
1964,7.4,MEXICO,MEXICO:  GUERRERO,18.3,-100.4,90,-90
1964,6.8,RUSSIA,RUSSIA:  KAMCHATKA,47.159,153.876,90,180
1964,4.7,CHINA,CHINA:SHANXI PROVINCE,35.1,111.6,90,180
1964,7,TURKEY,"TURKEY:  MANYAS, BURSA, BALIKESIR",40.3,28.2,90,90
1964,7.6,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-5.7,150.7,0,180
1964,,JAPAN,"NW. HONSHU ISLAND, JAPAN",40.4,138.9,90,180
1964,,IRAN,IRAN:  S,27,54,90,90
1965,5.5,ALGERIA,ALGERIA:  M'SILA,35.7,4.4,90,90
1965,5.5,CHINA,CHINA:SHANXI PROVINCE,35,111.63,90,180
1965,7.6,INDONESIA,INDONESIA:  SANANA ISLAND,-2.4,126.1,0,180
1965,8.7,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.29,178.55,90,180
1965,5.1,IRAN,IRAN:  NW,37.6,47.1,90,90
1965,7,CHILE,CHILE:  NORTHERN,-25.67,-70.63,0,0
1965,6.3,GREECE,"GREECE:  ALONISOS, SKOPELOS",39.4,24,90,90
1965,7.3,AFGHANISTAN,AFGHANISTAN,36.3,70.7,90,90
1965,6,CHILE,CHILE:  CENTRAL,-31.81,-71.26,0,0
1965,7.3,CHILE,CHILE:  CENTRAL,-32.4,-71.2,0,0
1965,7.6,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,50.32,177.93,90,180
1965,7.1,GREECE,GREECE,38.6,22.4,90,90
1965,6.2,GREECE,GREECE:  SOUTHERN,37.7,21.8,90,90
1965,6,JAPAN,"JAPAN:  AICHI, SHIZOUKA PREFECTURES",34.9,138,90,180
1965,6.6,USA,WASHINGTON:  SEATTLE,47.4,-122.3,90,-90
1965,6,EL SALVADOR,EL SALVADOR:  SAN MARCOS,13.5,-89.3,90,0
1965,7.2,RUSSIA,RUSSIA:  KURIL ISLANDS,44.7,148.7,90,180
1965,6,IRAN,"IRAN:  HADJIABAD, SARKHUN, SARCHAHAN",28.1,55.9,90,90
1965,6.5,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.03,-167.55,90,-90
1965,6.1,CHINA,CHINA:YUNNAN PROVINCE,22.4,101.6,90,180
1965,6.3,GREECE,NORTH CORINTH GULF,38.267,22.3,90,90
1965,7.6,VANUATU,VANUATU ISLANDS,-15.8,167.2,0,180
1965,7.3,VANUATU,VANUATU ISLANDS,-15.9,166.8,0,180
1965,7.8,MEXICO,"MEXICO:  ME\XICO CITY, OAXACA",16.3,-95.8,90,-90
1965,6.5,CHILE,CHILE:  SOUTHERN,-42.9,-75.13,0,0
1965,6.6,CHINA,CHINA:XINJIANG PROVINCE,43.9,87.8,90,90
1966,5.1,CHINA,CHINA:YUNNAN PROVINCE,27.9,99.7,90,180
